sleep_duration,sleep_quality,physical_activity,stress_level,heart_rate,daily_steps,wellness_trend
8.7,4,74,8,80,7499,Improving
5.9,4,54,5,84,6788,Declining
7.0,7,52,4,79,9704,Improving
4.5,7,90,5,80,10951,Stable
8.2,7,73,2,64,10324,Improving
8.9,5,48,4,68,7963,Improving
5.5,5,26,2,75,6347,Stable
6.2,6,21,7,82,3642,Declining
7.5,6,25,7,81,3058,Stable
6.3,6,46,3,74,6964,Improving
7.3,4,86,5,78,11500,Improving
6.2,8,22,2,92,11018,Improving
5.9,6,33,3,79,6869,Stable
7.2,7,34,6,87,5118,Stable
7.1,2,55,3,74,6118,Stable
6.2,3,26,3,79,4940,Declining
6.8,4,37,6,79,6030,Declining
5.3,6,27,6,88,4698,Declining
5.5,7,67,10,87,7557,Declining
4.6,9,27,7,87,5730,Declining
6.7,6,86,6,81,11282,Improving
5.2,7,20,3,77,4607,Stable
5.9,6,51,6,82,7490,Stable
7.2,5,39,8,76,6737,Declining
5.0,7,55,5,76,8455,Stable
5.2,4,74,9,90,11691,Declining
5.5,5,38,5,78,6717,Declining
6.1,5,64,5,74,9540,Stable
4.8,6,76,6,78,9054,Stable
5.6,7,74,6,80,10411,Stable
6.0,5,74,7,79,8661,Stable
7.5,4,45,5,76,6468,Stable
6.3,8,60,4,84,8090,Improving
6.2,4,38,6,83,6359,Declining
7.2,5,44,7,74,6261,Stable
6.8,3,47,5,83,6310,Declining
7.9,3,37,10,89,6109,Declining
7.9,4,58,3,84,8133,Improving
7.0,7,39,6,82,5370,Stable
4.5,6,51,5,77,7431,Declining
8.4,7,70,4,76,11272,Improving
5.5,3,38,3,75,5668,Declining
7.7,4,10,5,73,3237,Declining
5.5,1,73,3,75,9013,Declining
6.4,6,33,4,75,5533,Stable
6.6,10,10,8,83,4011,Stable
7.1,2,16,6,82,3179,Declining
7.2,2,70,5,85,7560,Stable
5.0,5,47,4,84,6044,Declining
5.4,2,42,2,76,6809,Declining
4.5,3,65,3,76,9398,Declining
7.5,10,12,8,82,4414,Stable
4.5,8,34,7,88,5299,Declining
5.7,6,40,5,78,7617,Stable
8.0,5,51,3,69,8683,Improving
7.6,7,42,2,69,8141,Improving
8.0,8,56,4,78,9022,Improving
6.1,7,30,1,75,8044,Improving
6.7,9,46,5,78,8050,Improving
6.3,6,41,5,79,6695,Stable
5.3,4,97,10,95,11437,Declining
6.6,4,16,7,87,2530,Declining
4.8,5,35,8,90,5465,Declining
7.6,5,50,8,78,8616,Stable
6.4,4,41,2,70,7641,Stable
4.9,6,57,5,78,7871,Declining
6.8,4,55,10,88,5188,Declining
4.5,10,55,5,86,7595,Stable
8.5,9,51,4,72,9129,Improving
7.6,6,19,6,76,4352,Stable
6.3,5,57,8,82,9255,Declining
7.3,8,30,8,74,7419,Stable
5.1,6,29,6,83,5967,Declining
7.7,5,43,3,73,6321,Improving
6.0,6,90,5,76,12068,Improving
4.5,8,85,3,72,9980,Improving
5.3,7,34,8,85,4992,Declining
7.6,8,11,1,71,6050,Improving
6.7,5,77,6,81,8403,Stable
4.5,8,49,7,85,5757,Declining
6.7,4,28,7,83,5598,Declining
6.6,7,31,4,88,3810,Stable
7.4,6,32,9,83,3024,Declining
7.2,5,75,10,84,7656,Stable
4.5,3,46,6,78,4624,Declining
6.4,5,79,7,90,8890,Stable
4.8,2,18,4,79,4253,Declining
5.4,6,67,6,82,8972,Stable
6.1,3,60,8,90,5286,Declining
5.4,8,102,6,76,12374,Improving
5.8,4,50,5,83,7848,Declining
8.3,8,62,4,71,9305,Improving
6.9,3,47,3,75,7511,Stable
8.0,5,46,7,79,9731,Stable
6.6,6,41,3,77,8039,Improving
6.3,7,33,6,76,7664,Stable
7.3,5,40,7,75,7426,Stable
7.1,5,34,4,87,7186,Stable
5.4,5,29,6,87,5724,Declining
8.9,9,52,5,71,8579,Improving
6.7,8,62,3,75,10106,Improving
6.2,4,69,1,69,8676,Improving
4.7,7,58,3,85,8746,Stable
5.2,5,54,4,81,7462,Stable
6.2,5,54,4,73,7835,Stable
6.7,3,64,10,82,6654,Declining
5.0,3,41,3,71,5817,Declining
5.5,8,81,5,80,11376,Improving
6.8,6,15,5,81,4760,Stable
6.5,9,85,9,84,10000,Improving
6.1,10,34,8,75,5890,Stable
6.2,9,85,8,78,10773,Improving
6.5,7,34,4,77,5711,Stable
5.1,8,49,3,73,8417,Improving
6.6,3,29,9,82,3834,Declining
7.9,4,39,7,74,6316,Stable
5.8,4,32,6,83,4704,Declining
5.6,4,55,1,71,8362,Stable
5.2,5,44,4,74,6871,Declining
7.6,6,59,7,77,8163,Stable
5.6,7,29,5,79,6455,Stable
7.1,3,39,5,79,5647,Declining
6.5,8,55,4,67,8703,Improving
5.9,7,27,7,83,5623,Declining
5.8,2,41,7,82,6094,Declining
5.2,10,68,7,79,10254,Stable
6.8,5,91,5,72,8434,Improving
7.1,6,66,3,77,7711,Improving
7.0,10,52,7,87,8752,Improving
6.6,4,25,4,80,5605,Declining
5.0,7,48,5,81,7698,Stable
6.7,9,50,2,68,8452,Improving
6.0,4,61,10,81,7411,Declining
8.0,5,29,3,79,5348,Improving
8.6,6,48,9,82,5144,Stable
7.7,4,30,9,82,5600,Declining
5.5,6,40,8,84,6808,Declining
8.3,6,57,7,73,7667,Improving
5.4,3,22,6,94,1890,Declining
6.3,3,40,4,83,4446,Declining
7.5,6,31,1,70,6445,Improving
5.5,6,74,5,81,9461,Stable
5.9,2,36,3,79,5858,Declining
6.6,5,45,7,82,7338,Declining
6.2,5,31,3,85,3415,Stable
7.7,7,56,5,78,9848,Improving
4.8,7,68,9,91,8707,Declining
5.7,8,43,7,87,7152,Stable
8.7,3,54,6,74,8756,Stable
6.7,8,16,8,82,5001,Declining
7.0,9,25,7,85,4911,Stable
4.5,4,50,6,86,5596,Declining
7.0,7,44,5,79,7119,Improving
5.6,2,57,5,76,6827,Declining
8.5,6,22,7,76,5858,Stable
5.6,8,52,5,74,8465,Stable
5.9,8,51,3,78,9856,Improving
5.8,7,38,6,77,4737,Stable
6.4,7,29,5,80,4835,Stable
5.5,9,42,10,74,7666,Declining
8.1,4,19,8,86,2995,Declining
5.8,6,83,1,69,11598,Improving
8.1,4,58,4,69,9247,Improving
6.9,5,33,5,68,5536,Stable
7.1,1,47,7,80,6567,Declining
5.7,6,64,7,88,8073,Stable
5.1,6,72,5,87,8883,Stable
8.0,5,10,7,80,3596,Declining
6.4,7,35,10,89,6388,Declining
5.5,3,61,2,77,7806,Stable
6.7,8,40,8,85,8190,Stable
7.7,7,57,6,75,7385,Improving
6.0,5,20,6,85,5848,Declining
6.3,5,36,9,83,4068,Declining
4.9,7,50,6,81,8794,Declining
7.3,8,56,3,77,8518,Improving
6.7,4,60,5,74,5181,Stable
7.3,7,39,5,71,5352,Improving
6.4,7,27,5,82,4145,Stable
8.7,6,29,2,64,6287,Improving
5.7,7,45,6,87,6919,Stable
7.0,4,15,6,82,3779,Declining
8.0,8,42,5,71,7386,Improving
6.5,4,46,2,70,6398,Stable
6.6,6,52,7,77,7522,Stable
7.4,6,10,6,80,3183,Stable
5.8,6,33,9,85,4688,Declining
7.0,6,22,5,74,5247,Stable
6.8,7,43,6,80,7521,Stable
5.1,3,14,6,89,6300,Declining
7.8,5,46,5,77,7638,Improving
6.1,8,45,6,87,7592,Stable
7.1,7,12,5,82,5746,Stable
8.2,10,48,5,68,9935,Improving
7.8,10,38,3,80,6763,Improving
7.3,5,73,4,71,8548,Improving
4.9,5,24,7,81,5278,Declining
5.8,8,37,6,77,7114,Stable
5.3,8,66,4,70,9053,Improving
6.6,8,33,7,82,7833,Stable
6.1,9,62,5,81,9480,Improving
5.7,7,67,7,73,8305,Stable
6.5,7,64,10,84,9327,Declining
7.9,3,49,7,80,7376,Stable
7.9,10,53,6,76,8509,Improving
6.3,5,29,5,79,4477,Declining
6.6,8,75,9,78,9589,Stable
6.0,8,34,1,76,7300,Improving
6.9,2,47,10,75,4612,Declining
7.1,6,68,7,82,9082,Stable
6.0,6,28,10,83,5379,Declining
6.8,6,57,5,84,6614,Improving
8.1,2,75,3,78,11086,Improving
6.3,5,38,7,78,5474,Declining
9.0,6,37,6,70,5980,Improving
7.1,5,106,7,74,11950,Improving
6.6,8,55,8,83,8678,Stable
8.3,7,32,1,71,6544,Improving
6.8,4,58,9,88,6083,Declining
4.5,4,49,10,93,7370,Declining
7.0,6,15,4,73,4712,Stable
6.9,6,41,6,83,8622,Stable
6.5,4,57,1,70,8142,Improving
7.1,7,54,5,80,6795,Improving
5.8,10,48,5,75,7870,Improving
6.3,5,50,6,76,7527,Stable
5.9,8,10,3,82,5085,Stable
6.9,5,32,7,79,6017,Declining
7.0,6,27,7,91,6312,Declining
7.0,4,12,3,77,4134,Stable
6.5,6,41,3,80,6277,Improving
6.4,5,33,1,70,7705,Improving
7.1,5,40,9,78,6382,Declining
7.0,9,38,6,80,6620,Improving
7.5,6,46,9,76,5533,Stable
7.4,7,60,5,76,8610,Improving
5.9,6,43,8,79,4550,Declining
5.4,6,68,6,84,9472,Stable
5.9,6,78,9,89,9213,Declining
7.6,6,29,1,80,5531,Improving
6.4,5,31,6,78,4502,Declining
6.8,5,34,7,84,7168,Declining
6.1,5,81,7,80,10120,Stable
5.6,5,43,2,75,5167,Stable
7.3,6,56,1,67,8392,Improving
6.4,6,94,3,78,10314,Improving
6.8,3,57,5,84,7302,Stable
7.5,5,61,3,79,7878,Improving
4.5,7,92,10,93,10503,Declining
5.6,3,36,10,90,4891,Declining
6.9,2,26,6,86,5694,Declining
5.1,5,59,2,79,7653,Stable
7.7,6,73,7,80,8090,Improving
5.2,7,62,4,75,9632,Stable
7.2,3,96,6,77,9603,Improving
6.6,7,51,6,85,9040,Stable
4.7,5,24,2,72,3426,Declining
5.8,5,65,1,72,9598,Improving
7.3,6,21,4,76,3544,Stable
8.5,5,93,6,67,9350,Improving
5.9,4,49,6,75,6111,Declining
8.0,7,44,1,67,7073,Improving
7.2,8,24,1,72,4902,Improving
6.2,6,72,9,81,9202,Declining
5.9,5,34,4,72,7163,Stable
6.7,8,82,3,73,11211,Improving
6.8,7,60,8,74,8556,Stable
4.5,4,32,4,86,4752,Declining
6.6,3,40,4,73,6471,Declining
5.4,5,98,10,80,11264,Declining
7.9,6,38,6,77,5709,Stable
5.5,7,24,5,87,4865,Declining
7.0,6,65,7,82,7556,Stable
8.0,7,86,4,66,9807,Improving
6.3,10,40,6,81,7229,Improving
7.0,3,38,2,71,5325,Stable
6.7,6,43,10,79,6037,Declining
7.5,6,10,9,90,2735,Declining
7.1,5,48,6,80,4737,Stable
9.0,7,61,8,83,8824,Improving
6.8,9,31,10,86,6245,Declining
7.2,4,41,7,80,4048,Declining
5.9,9,44,5,83,7471,Improving
5.9,6,43,6,83,7301,Declining
6.3,6,30,2,70,5975,Stable
5.8,5,89,6,76,10663,Stable
5.6,7,34,4,79,7188,Stable
6.7,10,66,5,73,9649,Improving
6.7,6,76,1,68,9927,Improving
7.6,8,27,6,80,6647,Improving
4.5,9,33,9,88,5774,Declining
8.2,8,39,3,71,7578,Improving
6.8,10,49,2,71,6693,Improving
8.3,10,10,5,67,6263,Improving
8.3,9,49,1,67,8774,Improving
6.0,6,55,7,83,6953,Declining
4.5,10,47,8,81,9297,Declining
7.5,5,63,4,68,7492,Improving
7.3,6,56,5,81,7773,Improving
5.8,6,51,7,81,6538,Declining
7.2,7,34,6,74,8005,Stable
6.3,4,48,10,78,6497,Declining
6.3,6,52,5,71,8028,Stable
4.9,5,73,5,80,8542,Stable
6.5,3,58,7,82,6820,Declining
6.7,9,28,7,77,6460,Stable
6.7,2,61,6,80,7580,Declining
5.6,4,64,3,76,8142,Stable
5.1,6,90,10,88,8679,Declining
6.4,9,45,6,75,6550,Improving
5.1,8,68,5,85,9997,Stable
4.5,6,76,10,92,8493,Declining
7.2,4,34,8,77,5545,Declining
5.9,3,52,9,87,6860,Declining
6.4,4,84,4,71,9620,Improving
6.6,7,61,2,76,7570,Improving
6.5,5,21,7,82,2646,Declining
7.9,7,44,3,70,7056,Improving
8.0,6,20,8,83,4349,Stable
5.7,6,33,1,79,6039,Stable
7.4,4,48,6,83,5864,Stable
8.7,8,55,2,72,8445,Improving
5.6,6,50,9,80,8708,Declining
7.4,5,25,9,84,3967,Declining
5.4,5,49,8,88,7119,Declining
7.6,4,59,6,74,7286,Stable
6.3,7,58,5,84,8522,Improving
6.0,10,31,2,79,9585,Improving
7.1,5,29,7,79,5553,Declining
8.0,7,72,7,82,9983,Improving
7.3,5,56,10,89,6660,Declining
6.1,4,23,3,78,6622,Declining
8.7,8,43,9,81,5706,Improving
7.1,7,63,8,81,8985,Stable
7.0,3,57,6,75,6247,Stable
7.0,5,50,7,77,7438,Stable
7.6,7,10,5,81,3691,Stable
8.6,7,53,7,79,6905,Improving
8.5,2,54,6,77,5887,Stable
5.9,4,47,7,87,6362,Declining
7.5,7,49,8,78,7427,Stable
4.9,7,30,6,81,6280,Declining
5.2,4,24,9,81,4479,Declining
9.0,5,57,8,82,5939,Improving
6.2,3,50,4,75,7874,Declining
5.7,5,31,2,81,5632,Stable
5.5,5,39,9,91,6205,Declining
7.5,4,60,5,78,7978,Stable
8.6,6,51,5,77,8392,Improving
8.0,6,49,7,82,8495,Stable
5.4,3,66,6,77,7650,Declining
8.2,4,69,6,78,8648,Improving
6.4,7,38,4,81,6234,Stable
6.6,8,59,6,82,7165,Improving
5.8,5,42,6,79,6042,Declining
8.0,3,22,4,77,3116,Stable
6.4,4,58,4,78,7753,Stable
5.9,4,109,7,75,10775,Stable
4.9,5,34,4,80,7440,Declining
5.2,6,33,9,87,2892,Declining
6.9,3,57,5,80,5796,Stable
6.9,7,48,1,67,8611,Improving
6.8,4,33,1,70,7017,Improving
6.5,7,43,5,74,8451,Stable
9.0,8,41,2,69,5963,Improving
4.5,9,60,8,89,7965,Declining
5.6,4,36,5,81,3376,Declining
4.5,7,74,1,69,9803,Improving
7.6,8,28,5,76,5369,Improving
6.0,6,63,10,86,7131,Declining
5.9,9,55,1,72,8555,Improving
8.1,2,60,7,78,6963,Stable
6.4,5,90,6,76,11218,Improving
8.4,6,65,4,72,8457,Improving
7.0,4,52,3,76,5974,Improving
6.7,5,42,4,68,5228,Stable
9.0,7,33,9,83,4528,Stable
6.2,2,30,8,79,4757,Declining
5.6,5,49,6,76,6937,Declining
7.3,6,64,5,74,8505,Improving
6.4,4,83,5,75,8759,Stable
6.9,5,62,8,88,8531,Stable
5.8,6,17,4,75,5670,Declining
5.7,4,74,5,80,8382,Stable
7.1,4,73,5,80,8351,Improving
6.8,9,65,10,92,9512,Stable
7.8,5,32,1,66,6356,Improving
6.5,3,14,8,94,4543,Declining
5.6,8,75,5,81,9009,Improving
6.2,4,30,6,81,3828,Declining
5.0,8,21,6,81,6461,Declining
5.6,5,10,8,94,3779,Declining
5.9,4,51,6,83,6288,Declining
7.1,8,52,5,78,9696,Improving
5.8,8,45,1,76,6301,Improving
5.4,3,29,7,86,6245,Declining
7.9,5,10,5,71,4047,Stable
6.2,3,75,7,81,7812,Declining
6.7,7,51,3,72,7273,Improving
6.1,5,15,7,79,3186,Declining
8.7,6,29,5,82,4729,Improving
7.0,6,10,3,79,4821,Stable
8.0,4,16,2,93,7188,Improving
8.3,4,62,9,80,7758,Stable
7.0,2,75,9,80,8463,Declining
8.5,7,38,8,78,5536,Stable
8.3,5,64,7,75,8462,Improving
6.3,3,42,6,78,6286,Declining
6.7,7,25,8,83,4981,Declining
6.2,7,25,5,83,5313,Stable
6.3,3,36,5,73,5834,Declining
6.3,7,29,6,84,5625,Stable
6.8,7,35,4,74,7248,Improving
6.4,4,10,2,78,6078,Stable
6.6,5,76,6,73,8907,Stable
6.4,7,42,8,85,6198,Declining
5.2,7,18,7,86,3481,Declining
5.9,6,29,2,80,5435,Stable
6.6,6,29,4,78,5253,Stable
5.2,9,53,5,78,8101,Stable
6.9,6,53,5,76,6240,Stable
6.8,3,42,1,74,5857,Stable
4.5,7,60,6,78,8180,Declining
6.3,3,28,2,72,6076,Stable
4.8,3,37,5,87,5197,Declining
6.9,6,23,8,87,4966,Declining
7.5,6,28,6,87,6694,Stable
6.6,7,31,7,82,5945,Stable
7.1,8,48,7,77,8480,Stable
6.1,7,52,3,67,6961,Improving
5.4,7,58,6,79,7176,Stable
6.3,8,83,1,66,10559,Improving
4.5,7,58,5,79,7982,Stable
7.2,4,13,3,77,2368,Stable
5.7,6,48,3,77,6450,Stable
6.1,6,63,7,82,7615,Stable
6.7,6,32,9,88,5839,Declining
5.3,5,53,9,94,6091,Declining
6.5,3,55,1,76,7471,Improving
7.5,5,44,8,79,7263,Stable
8.3,2,65,6,78,7202,Stable
5.8,7,40,7,83,7237,Declining
8.5,4,46,5,68,5874,Improving
7.1,8,37,6,70,6580,Improving
5.9,5,32,7,89,4913,Declining
6.0,5,36,6,77,5400,Declining
7.2,3,10,4,81,3309,Declining
9.0,4,49,4,77,7706,Improving
8.0,4,24,5,73,5032,Stable
6.2,5,113,6,74,9893,Improving
5.9,7,44,2,75,8981,Improving
6.1,5,46,10,74,5990,Declining
4.5,4,10,4,87,3647,Declining
6.0,8,75,4,78,10918,Improving
5.2,8,50,8,82,7354,Declining
7.5,3,42,8,80,4460,Declining
6.4,4,53,6,79,8385,Declining
6.9,7,82,10,84,8360,Stable
5.5,6,25,5,74,5447,Declining
7.7,10,61,5,79,8997,Improving
6.8,6,16,6,86,3933,Declining
7.1,8,66,7,73,9237,Improving
4.9,6,40,5,75,7699,Declining
4.5,6,10,3,80,4702,Declining
7.0,9,72,3,71,9446,Improving
7.7,6,37,6,82,6031,Stable
7.1,6,29,5,80,4164,Stable
5.8,6,64,6,84,8159,Stable
7.0,4,29,9,91,2926,Declining
6.6,6,42,5,74,6664,Stable
8.1,3,46,6,81,7085,Stable
7.1,4,110,4,75,12791,Improving
4.5,5,41,6,83,6967,Declining
5.9,5,10,6,86,3692,Declining
7.6,8,17,7,84,4822,Stable
5.7,6,53,7,74,8748,Declining
6.6,6,40,6,82,7122,Stable
9.0,1,15,9,82,2535,Declining
7.3,4,45,6,87,5800,Stable
7.6,9,58,6,76,8074,Improving
6.5,8,23,5,76,6113,Stable
7.1,7,26,4,72,5002,Improving
4.7,6,55,4,82,6576,Stable
5.7,8,45,10,95,6891,Declining
8.1,2,43,5,76,5816,Stable
7.0,6,10,6,76,1852,Declining
5.9,8,27,5,80,4548,Stable
6.1,6,17,4,77,4703,Stable
7.0,5,80,8,78,10674,Stable
6.3,7,52,4,75,7510,Improving
8.0,8,72,5,82,8186,Improving
6.3,3,82,4,77,11342,Stable
7.9,9,61,1,69,11938,Improving
5.5,8,50,3,72,8535,Improving
5.8,7,13,10,91,3608,Declining
6.9,6,28,9,92,5401,Declining
7.2,5,86,5,80,10364,Improving
6.8,4,10,8,77,1500,Declining
5.6,6,32,8,82,6338,Declining
7.5,4,55,4,80,8853,Improving
5.3,6,16,7,85,5273,Declining
7.5,6,71,2,72,9235,Improving
5.1,5,51,6,81,9307,Declining
7.0,5,24,3,83,5263,Stable
4.5,7,37,9,90,6517,Declining
6.2,7,62,9,81,8398,Declining
6.5,7,40,5,74,7639,Stable
9.0,6,46,3,74,5815,Improving
4.5,6,60,7,89,8821,Declining
7.0,8,43,3,71,8330,Improving
7.0,5,44,5,78,5765,Stable
7.0,4,62,5,79,6541,Stable
6.7,5,23,8,82,4112,Declining
5.8,3,10,8,84,3953,Declining
7.2,5,32,8,84,5247,Declining
5.1,5,24,5,85,6484,Declining
4.9,3,61,6,85,7865,Declining
7.8,5,63,6,83,9467,Improving
5.0,3,44,6,82,6264,Declining
6.7,6,56,4,78,8473,Improving
6.1,4,33,8,78,3559,Declining
6.8,8,54,6,74,8425,Improving
5.9,7,10,8,89,5015,Declining
6.0,8,47,5,79,7856,Stable
8.2,7,60,1,69,9934,Improving
7.3,2,10,9,82,2670,Declining
7.4,7,50,6,81,7917,Improving
7.3,10,41,4,73,8559,Improving
5.4,5,52,8,66,11821,Declining
5.4,4,47,6,86,5735,Declining
6.7,6,79,4,71,9833,Improving
7.4,3,71,9,78,9476,Declining
6.2,7,29,9,77,4320,Declining
6.7,3,63,4,67,11815,Stable
7.4,7,27,7,78,5473,Stable
5.3,6,74,7,84,10346,Stable
8.0,5,65,4,70,8611,Improving
4.5,3,34,5,77,5775,Declining
5.8,6,68,8,84,8476,Declining
7.4,7,57,10,84,8803,Stable
7.5,7,87,2,70,10744,Improving
7.2,6,98,2,68,11881,Improving
5.9,5,37,2,67,5971,Stable
5.9,9,28,4,77,6330,Stable
7.6,1,44,3,74,6506,Stable
5.3,9,69,5,79,10120,Improving
9.0,2,48,2,69,7559,Improving
4.8,8,19,8,82,4897,Declining
5.8,3,29,7,78,5739,Declining
6.5,3,42,4,80,5980,Declining
7.7,8,21,3,85,4650,Improving
7.0,5,58,7,83,6497,Stable
6.1,9,28,8,77,5902,Declining
6.7,4,44,9,88,6254,Declining
6.1,3,25,10,78,4774,Declining
6.7,6,29,4,73,4795,Stable
6.8,6,49,5,80,6428,Stable
7.5,7,24,6,81,4475,Stable
8.6,6,53,6,70,7287,Improving
6.1,4,10,4,80,4205,Declining
7.2,7,41,8,80,4863,Stable
6.2,8,61,5,77,9372,Improving
7.1,7,42,7,77,6466,Stable
6.1,6,109,6,73,13216,Improving
6.9,8,78,6,80,10847,Improving
7.2,6,20,7,87,4162,Declining
9.0,4,85,6,78,8933,Improving
6.6,8,39,6,73,6989,Stable
6.6,5,10,6,86,5062,Declining
7.8,1,35,7,73,2913,Declining
7.1,4,34,5,83,5054,Stable
6.6,3,16,6,79,3435,Declining
6.7,8,10,4,87,4556,Stable
8.1,8,84,7,76,9777,Improving
7.0,5,63,5,80,7069,Improving
8.3,4,39,8,86,5350,Stable
7.4,7,75,7,79,9145,Improving
4.6,6,52,4,77,6333,Declining
4.5,4,92,8,80,10882,Declining
6.9,4,46,9,89,5361,Declining
6.4,4,48,5,81,7453,Stable
6.7,8,46,5,75,6333,Improving
7.3,7,37,2,73,7993,Improving
7.5,5,79,4,76,10045,Improving
5.7,8,57,6,82,7909,Stable
8.0,7,53,5,74,7174,Improving
7.4,6,45,8,78,7150,Stable
5.4,9,26,7,80,5240,Declining
4.5,5,31,7,89,4843,Declining
7.0,5,34,6,77,4447,Stable
7.2,6,22,5,80,5732,Stable
6.0,8,10,5,83,4357,Stable
5.1,2,78,9,87,9267,Declining
6.8,4,16,3,79,3592,Stable
8.4,5,63,7,83,8224,Improving
7.7,6,31,9,80,2258,Declining
7.0,5,30,6,80,3695,Declining
7.1,7,22,3,75,5199,Improving
6.5,4,101,4,72,10722,Improving
5.4,6,78,7,73,10624,Stable
6.4,7,16,5,83,5052,Stable
7.1,7,42,5,80,8313,Improving
6.0,5,39,6,72,6306,Declining
4.5,4,49,7,89,7118,Declining
6.3,6,54,1,70,8335,Improving
5.4,8,56,3,74,9967,Improving
5.5,4,50,8,86,5635,Declining
7.9,4,28,4,85,5205,Stable
8.4,9,52,4,72,8586,Improving
7.1,3,41,6,84,5954,Declining
6.3,6,64,7,87,8566,Stable
6.0,7,73,7,81,8366,Stable
4.5,9,65,8,84,10646,Declining
7.5,5,53,10,86,7157,Declining
5.5,4,33,5,85,5728,Declining
6.3,4,73,9,78,7981,Declining
7.0,6,24,10,94,4727,Declining
6.1,8,49,8,81,6682,Stable
6.4,7,49,4,78,9521,Improving
4.8,7,71,6,80,11020,Stable
6.5,3,73,3,80,7976,Stable
6.5,3,29,5,82,5374,Declining
7.8,3,67,3,72,2244,Improving
6.3,7,26,8,90,6592,Declining
5.8,8,39,7,87,5863,Stable
4.7,6,34,6,86,4900,Declining
4.6,8,46,7,82,7322,Declining
5.9,7,73,5,80,9290,Improving
5.6,6,33,4,78,7339,Stable
8.8,7,71,8,76,9474,Improving
7.4,8,48,9,80,7747,Stable
5.5,9,63,2,73,11192,Improving
9.0,10,80,10,77,10245,Improving
6.2,6,26,5,77,4908,Declining
5.3,9,53,7,82,6408,Stable
7.4,5,44,10,85,5795,Declining
4.9,6,76,10,87,8835,Declining
7.0,6,88,4,79,12638,Improving
6.5,8,57,9,84,6907,Stable
7.4,8,44,9,87,6026,Stable
7.4,7,75,7,70,12044,Improving
6.2,8,51,5,77,8327,Improving
8.3,3,74,1,68,9507,Improving
5.8,4,39,6,75,4938,Declining
6.0,4,49,7,81,7600,Declining
8.2,7,57,10,88,6983,Stable
6.3,5,28,8,79,6047,Declining
6.2,6,18,9,89,4548,Declining
7.1,6,42,4,78,6459,Improving
7.0,5,10,2,81,2930,Stable
6.4,4,57,7,83,7467,Declining
8.1,6,67,7,73,8388,Improving
4.8,9,51,3,78,8019,Improving
7.7,6,32,3,77,5939,Improving
4.5,6,11,10,90,3946,Declining
5.5,5,25,8,89,3810,Declining
8.9,4,73,9,84,8355,Stable
7.6,6,28,10,89,7795,Declining
5.0,8,75,2,86,10908,Improving
6.1,5,25,8,86,5031,Declining
6.4,6,26,6,80,4780,Declining
6.0,6,50,6,80,6747,Stable
8.2,4,54,4,74,7725,Improving
5.3,7,94,6,74,11652,Improving
7.9,9,46,5,80,8346,Improving
8.3,6,42,1,65,8127,Improving
4.7,3,50,5,87,6080,Declining
5.3,7,36,7,83,6607,Declining
5.8,4,54,8,86,7024,Declining
6.3,5,60,8,83,7157,Declining
7.0,6,75,6,74,10823,Improving
6.6,5,10,5,73,3453,Declining
6.7,9,36,6,80,6916,Improving
4.5,4,65,2,68,11504,Stable
7.6,10,41,5,76,7869,Improving
7.1,4,62,3,72,8159,Improving
6.2,8,52,5,73,8647,Improving
5.0,7,50,4,81,8026,Stable
6.6,7,21,5,77,6273,Stable
7.1,5,47,5,80,5873,Stable
6.0,6,82,8,79,9604,Stable
6.0,4,61,10,84,8210,Declining
7.1,4,47,7,86,5623,Declining
6.3,4,49,7,82,4048,Declining
5.6,6,75,4,76,11227,Improving
7.6,6,69,8,77,7875,Stable
8.0,6,27,3,72,5055,Improving
6.0,8,38,7,78,6714,Stable
8.4,7,39,4,74,7844,Improving
7.3,9,16,5,77,6651,Improving
5.2,5,61,5,74,8499,Declining
6.4,6,59,2,76,9671,Improving
7.3,6,10,3,76,4256,Stable
7.6,5,48,5,78,6167,Stable
6.8,7,21,5,81,5128,Stable
6.5,5,29,8,90,5037,Declining
5.4,2,67,8,88,8872,Declining
6.6,4,68,8,84,8105,Declining
8.0,6,45,9,78,6478,Stable
8.3,4,45,7,83,6548,Stable
7.6,5,48,7,79,7364,Stable
6.2,5,10,5,85,5213,Declining
7.8,4,33,5,80,4404,Stable
4.5,7,40,2,76,7193,Stable
6.2,5,48,10,90,7681,Declining
7.3,7,48,1,70,9474,Improving
5.4,4,100,1,68,12766,Improving
6.2,8,57,5,79,8087,Improving
6.9,8,27,1,78,6382,Improving
7.8,9,46,3,68,9626,Improving
4.5,7,15,3,70,5175,Declining
6.8,7,65,6,76,9075,Improving
7.4,4,10,6,86,3405,Declining
7.0,8,39,7,79,7344,Stable
7.8,6,35,7,68,5818,Stable
4.7,5,37,8,90,4294,Declining
5.6,5,84,3,73,9530,Improving
6.8,7,65,5,72,8372,Improving
6.4,7,22,9,79,3917,Declining
6.4,8,39,8,84,4554,Stable
7.3,4,41,2,72,7240,Improving
6.9,7,55,6,79,8043,Improving
7.2,7,41,9,82,4694,Stable
5.7,9,54,3,72,10983,Improving
5.9,5,44,7,82,8985,Declining
7.0,4,59,5,76,6391,Stable
4.8,9,18,5,91,6179,Declining
7.1,4,28,9,89,3970,Declining
8.4,8,50,5,70,8345,Improving
5.5,7,49,4,73,5680,Stable
4.5,4,26,1,76,5139,Declining
6.1,7,24,3,73,5378,Stable
6.3,5,36,4,85,6513,Stable
5.7,7,12,9,88,4214,Declining
